ID,OffID,Pop,Fruit,Selfed,Hac_C7,Hac_D1,Hb_B9,Hb_C115,Hac_C114,Hac_B6,Hac_B4,Hac_A103,Hac_A116,Hc_C7,Hc_C126
62C,1,62,62C1,No,225:225,180:183,357:360,300:300,372:372,285:285,243:249,194:194,302:302,345:348,249:249
62C,2,62,62C1,No,225:225,180:180,360:360,300:300,372:372,285:285,240:243,194:194,302:302,345:345,249:249
62C,3,62,62C2,No,225:225,180:183,345:360,288:300,372:372,285:291,243:252,200:200,302:302,345:351,249:270
62C,4,62,62C2,No,225:225,180:180,357:360,288:300,372:372,285:285,243:243,194:194,302:302,333:348,249:249
62C,5,62,62C2,No,225:225,180:180,357:357,NA,372:372,285:291,243:252,206:206,302:302,345:345,249:249
62C,6,62,62C3,No,225:225,180:183,354:360,300:300,372:372,285:288,243:243,194:194,302:302,333:357,249:249
62C,7,62,62C3,No,219:225,180:183,357:357,297:297,372:372,NA,240:243,192:192,302:302,345:345,249:261
62C,8,62,62C3,No,225:225,180:180,357:357,282:300,372:372,285:288,234:249,194:194,302:302,333:348,249:249
62C,9,62,62C4,No,219:225,180:183,357:357,288:288,372:372,285:288,234:252,194:194,302:302,333:348,249:249
62C,10,62,62C4,No,222:225,180:180,357:360,276:276,372:372,285:285,243:252,190:194,302:302,333:348,249:249
62E,0,62,NA,No,219:219,180:183,348:360,276:297,372:372,285:291,240:243,192:194,302:302,342:357,249:249
62E,1,62,62E1,No,219:219,180:180,348:360,297:297,372:372,285:285,NA,194:194,300:302,333:342,249:249
62E,2,62,62E2,Yes,219:225,183:183,348:348,276:276,372:372,285:285,231:234,194:194,302:302,342:342,249:249
62E,3,62,62E2,Yes,219:219,183:183,348:348,297:297,372:372,285:285,240:243,194:194,302:302,342:342,249:249
62E,4,62,62E2,No,219:225,180:180,348:366,276:288,372:372,285:285,243:246,194:194,302:302,342:345,249:249
62E,5,62,62E3,No,225:225,180:183,348:360,276:300,372:372,285:285,240:243,192:192,302:302,342:345,249:249
62E,6,62,62E3,Yes,219:228,180:180,348:360,276:297,372:372,291:291,240:243,192:192,302:302,342:354,249:249
62E,7,62,62E4,No,219:219,180:180,345:360,276:288,372:375,285:288,243:252,192:192,302:302,342:342,249:249
62E,8,62,62E4,No,219:225,180:180,348:357,276:282,372:372,291:291,240:243,192:192,302:304,NA,249:249
62E,9,62,62E5,Yes,219:219,180:180,348:360,276:297,372:372,NA,240:243,192:192,302:302,345:357,249:249
62E,10,62,62E5,No,225:225,180:183,348:360,288:297,372:372,NA,243:252,194:200,302:302,348:348,249:249
62E,11,62,62E6,No,219:225,180:180,348:354,276:297,372:372,285:288,249:252,194:194,302:302,342:357,249:249
63A,0,63,NA,No,225:228,180:180,345:357,288:297,372:372,285:285,243:252,192:208,302:302,342:348,249:249
63A,1,63,63A1,No,225:225,180:180,345:345,288:288,372:372,285:294,240:252,192:208,300:302,342:348,249:249
