ID,OffID,Pop,Fruit,Selfed,Hac_C7,Hac_D1,Hb_B9,Hb_C115,Hac_C114,Hac_B6,Hac_B4,Hac_A103,Hac_A116,Hc_C7,Hc_C126
16A,12,16,16A6,No,219:225,180:180,360:360,276:282,372:372,285:288,240:240,190:194,302:302,NA,249:249
16B,0,16,NA,No,222:225,180:183,357:357,288:297,372:372,291:291,243:252,192:200,302:302,345:354,249:270
16B,1,16,16B1,No,222:225,180:183,357:360,285:297,372:372,285:291,243:252,192:192,300:302,345:345,270:270
16B,2,16,16B1,No,225:225,180:183,357:363,288:297,372:375,285:291,240:243,192:194,302:302,345:354,249:249
16B,3,16,16B2,No,225:225,183:183,357:357,279:297,372:372,291:291,237:240,192:194,302:302,354:354,249:249
16B,4,16,16B2,No,225:225,180:183,357:360,276:288,372:372,285:291,249:252,192:192,302:302,348:354,270:270
16B,5,16,16B3,Yes,225:225,183:183,357:357,288:288,372:372,NA,243:252,192:200,302:302,354:354,270:270
16B,6,16,16B3,No,225:225,180:183,345:357,288:297,372:372,291:291,243:255,192:194,302:302,345:354,249:249
16B,7,16,16B4,No,222:222,183:183,348:357,276:297,372:372,291:291,240:255,192:192,302:302,345:354,249:270
16B,8,16,16B5,No,222:225,180:183,357:360,288:297,372:372,291:291,240:243,192:200,302:304,345:354,249:270
16B,9,16,16B5,Yes,225:225,183:183,357:357,297:297,372:372,285:285,243:252,192:192,302:302,354:354,NA
16B,10,16,16B5,No,222:225,180:183,357:357,297:297,372:372,288:288,240:252,192:194,300:302,345:354,249:249
16C,0,16,NA,No,219:219,183:189,345:357,276:288,372:372,288:288,249:252,194:200,302:302,345:348,249:249
16C,1,16,16C1,No,219:222,183:183,357:357,276:276,372:372,288:288,249:252,200:206,302:302,345:354,249:270
16C,2,16,16C1,No,219:225,180:183,345:360,276:276,372:372,291:291,249:252,192:200,300:302,345:348,249:249
16C,3,16,16C2,No,219:225,180:183,357:363,285:288,372:372,288:291,240:252,190:194,302:302,348:369,249:249
16C,4,16,16C2,No,219:225,183:183,357:360,276:288,372:375,291:291,240:252,194:194,300:302,345:354,249:249
16C,5,16,16C3,No,219:219,180:183,357:360,276:282,372:372,288:288,249:252,194:200,302:302,348:354,249:249
16C,6,16,16C3,No,219:225,180:183,357:360,285:288,372:372,291:291,249:252,194:200,302:302,345:348,249:270
16C,7,16,16C4,No,219:225,180:183,345:360,276:279,372:372,288:291,240:252,194:200,302:302,336:345,249:249
16C,8,16,16C4,No,219:219,183:183,345:366,276:285,372:372,NA,249:252,194:200,302:302,345:348,249:249
16C,9,16,16C5,No,219:219,180:183,357:357,288:297,372:372,288:291,240:252,194:194,300:302,345:345,249:249
16C,10,16,16C5,No,219:225,183:183,357:366,285:288,372:375,285:288,240:252,198:200,300:302,348:348,249:249
16C,11,16,16C6,No,219:219,180:183,357:357,288:297,372:372,285:288,249:252,NA,302:302,NA,249:249
16C,12,16,16C6,No,219:219,180:183,348:357,288:297,372:372,288:291,249:252,190:200,302:302,345:357,249:249
16E,0,16,NA,No,225:225,180:183,357:360,282:297,372:372,288:288,252:255,192:192,302:302,348:354,249:270
16E,1,16,16E1,No,225:225,180:183,360:360,285:297,372:372,285:285,249:252,198:200,302:302,354:354,249:270
16E,2,16,16E1,No,225:225,180:183,357:357,279:282,372:372,288:288,249:252,192:192,302:302,348:354,249:270
16E,3,16,16E1,No,225:225,180:180,357:360,276:282,372:375,285:288,249:252,192:192,302:302,354:354,249:249
16E,4,16,16E2,No,219:225,177:180,354:360,288:297,372:372,285:288,240:255,192:194,302:302,336:354,249:249
16E,5,16,16E2,No,225:225,180:183,NA,288:297,372:372,288:288,NA,192:200,300:302,345:354,249:249
16E,6,16,16E2,No,219:225,180:183,357:360,282:288,372:372,285:288,237:252,192:194,302:302,348:351,249:249
16E,7,16,16E3,No,219:225,180:183,357:360,288:297,372:372,288:291,NA,184:192,302:302,345:348,249:261
16E,8,16,16E3,No,225:225,180:183,354:357,282:288,372:372,288:291,252:255,192:206,300:302,348:354,270:270
16E,9,16,16E4,No,225:225,180:183,357:360,288:297,372:372,288:288,243:252,192:200,302:302,345:348,249:270
16E,10,16,16E4,No,225:225,183:183,357:357,282:285,372:372,288:288,243:252,192:208,302:302,348:348,249:249
16E,11,16,16E4,No,225:225,180:183,357:360,297:297,372:375,288:288,240:252,192:194,294:302,348:348,249:249
16E,12,16,16E5,No,225:225,180:183,357:357,282:285,372:375,288:291,249:252,192:194,294:302,345:354,249:270
16E,13,16,16E5,No,225:225,180:180,357:360,285:285,372:372,285:288,252:252,192:200,302:302,354:354,249:249
24A,0,24,NA,No,219:219,180:189,357:360,288:288,372:372,285:285,240:252,194:198,302:302,348:351,249:249
24A,1,24,24A1,Yes,219:219,180:183,357:360,288:288,372:372,285:285,240:252,194:194,302:302,348:348,249:249
24A,2,24,24A1,No,219:225,180:180,360:360,288:297,372:372,285:285,240:246,194:198,300:302,348:378,249:249
24A,3,24,24A1,No,219:225,180:186,NA,282:288,372:372,285:285,NA,NA,300:302,NA,249:249
24A,4,24,24A2,No,219:225,180:186,357:360,285:288,372:372,285:288,240:252,194:194,302:302,345:348,249:249
24A,5,24,24A2,No,219:225,180:180,357:360,288:288,372:372,285:285,240:252,194:194,290:302,345:348,249:249
24A,6,24,24A2,No,219:225,180:183,360:360,276:288,372:372,285:285,252:255,194:198,294:302,345:348,249:249
24A,7,24,24A3,No,219:225,180:183,345:357,285:288,372:372,NA,NA,190:194,302:302,345:348,249:249
24A,8,24,24A3,No,219:219,180:183,345:357,285:288,372:372,285:291,252:255,194:198,302:302,345:348,249:249
24A,9,24,24A3,No,219:219,180:180,345:360,285:288,372:372,285:291,240:255,190:194,302:302,345:351,249:249
24A,10,24,24A4,No,219:225,180:183,357:360,288:288,372:372,285:288,240:255,198:198,302:302,345:348,249:249
24A,11,24,24A4,No,219:225,180:183,357:366,288:288,372:372,285:291,243:252,194:194,302:302,345:351,249:249
24B,0,24,NA,No,225:225,180:183,348:360,288:288,372:372,285:285,240:249,190:194,302:302,345:348,249:270
24B,1,24,24B1,No,225:225,180:183,345:348,285:288,372:372,285:291,240:249,190:190,302:302,345:348,249:270
24B,2,24,24B1,No,225:225,183:183,348:366,285:288,372:372,285:285,249:252,190:194,294:302,345:345,249:270
24B,3,24,24B1,No,219:225,180:180,348:360,288:288,372:372,285:285,240:249,190:194,302:302,348:348,249:270
24B,4,24,24B2,No,219:225,180:183,360:360,288:288,372:372,285:288,240:252,190:194,302:302,348:348,249:270
24B,5,24,24B2,No,219:225,180:180,348:360,288:288,372:372,285:285,249:252,190:206,302:302,342:345,249:270
24B,6,24,24B3,No,219:225,180:180,348:357,288:288,372:372,285:285,249:252,194:206,302:302,345:345,249:270
24B,7,24,24B3,No,225:225,180:183,345:348,285:288,372:372,285:285,249:252,194:194,302:302,345:345,249:270
24B,8,24,24B4,No,225:225,180:180,348:357,276:288,372:372,285:285,249:252,190:194,302:302,345:345,249:270
24B,9,24,24B4,No,225:225,183:183,357:360,276:288,372:372,285:285,249:255,192:194,302:302,345:348,249:270
24B,10,24,24B5,No,225:225,180:180,348:360,288:288,372:372,285:285,249:255,190:194,302:302,348:348,270:270
24C,0,24,NA,No,225:225,183:183,348:363,276:288,372:372,285:285,249:252,192:194,294:302,345:351,249:270
24C,1,24,24C1,No,225:225,180:183,360:363,276:276,372:372,285:288,249:252,190:194,294:302,345:345,249:249
24C,2,24,24C1,No,219:225,180:183,360:363,276:288,372:372,285:285,243:252,194:194,302:302,348:351,249:270
24C,3,24,24C2,No,225:225,180:183,345:348,288:297,372:372,285:285,240:252,192:198,294:302,351:378,249:249
24C,4,24,24C2,No,225:225,180:183,360:363,288:297,372:372,285:285,240:252,198:210,294:302,351:351,249:249
24C,5,24,24C2,No,225:234,180:183,363:363,276:285,372:372,285:285,249:252,194:198,294:302,348:351,249:249
24C,6,24,24C3,No,225:225,180:183,360:363,276:276,372:372,285:285,249:252,194:194,292:294,345:345,249:249
24C,7,24,24C3,No,225:225,183:183,363:363,276:288,372:372,285:291,246:252,194:194,302:302,345:351,249:249
24C,8,24,24C4,No,219:225,180:183,348:360,288:297,372:375,285:285,243:252,194:194,302:302,345:348,249:270
24C,9,24,24C4,No,219:225,183:186,348:360,288:297,372:372,285:285,240:252,194:194,294:302,348:351,249:270
24C,10,24,24C4,No,219:225,180:183,357:363,285:288,372:372,285:291,249:252,198:200,294:294,345:351,249:249
24C,11,24,24C5,No,225:225,183:183,348:357,288:288,372:372,285:285,228:252,194:198,294:302,345:354,249:249
24D,0,24,NA,No,219:225,180:186,360:360,276:297,372:375,288:291,240:258,192:200,302:302,345:348,249:249
24D,1,24,24D1,No,219:225,180:180,360:366,288:297,372:372,285:288,240:252,192:194,300:302,345:351,249:249
24D,2,24,24D1,No,219:225,180:183,360:360,276:288,372:372,285:288,240:252,192:206,300:302,345:345,249:249
24D,3,24,24D2,No,225:225,180:183,360:360,297:297,372:372,285:291,NA,192:194,292:302,345:351,249:249
24D,4,24,24D2,No,219:225,180:183,360:363,288:297,372:372,285:288,240:252,192:198,302:302,348:348,249:249
24D,5,24,24D3,No,219:225,180:183,360:369,276:297,372:372,285:285,240:252,192:192,300:302,348:351,249:249
24D,6,24,24D4,No,225:225,180:183,360:360,276:285,372:372,285:291,240:252,194:206,302:302,333:345,249:249
24D,7,24,24D4,No,225:231,180:183,360:360,276:288,372:375,288:288,237:240,192:194,300:302,348:348,249:249
24D,8,24,24D5,No,219:225,180:183,360:360,285:297,372:372,285:291,237:240,192:194,302:302,345:345,249:270
24D,9,24,24D5,No,225:225,180:180,348:360,297:297,372:372,285:288,240:252,192:194,302:302,348:348,249:249
24D,10,24,24D6,No,225:225,180:180,360:360,276:288,372:372,285:285,240:243,194:194,290:302,345:345,249:249
24D,11,24,24D6,No,225:225,180:180,360:360,288:288,372:372,288:291,240:243,194:194,290:302,348:348,249:249
24E,0,24,NA,No,219:219,180:180,348:360,276:288,372:372,285:285,234:252,194:200,302:304,348:351,249:270
24E,1,24,24E1,No,219:219,180:186,348:360,276:276,372:372,285:285,234:255,192:194,304:304,351:351,267:270
24E,2,24,24E1,No,219:225,180:183,360:366,276:297,372:372,285:291,231:234,198:200,302:304,348:348,249:249
24E,3,24,24E1,Yes,219:219,183:183,NA,288:288,372:372,NA,NA,NA,304:304,348:348,249:249
24E,4,24,24E2,Yes,219:219,180:183,348:348,NA,372:372,285:285,252:255,194:194,302:302,345:348,270:270
24E,5,24,24E2,No,219:222,180:183,NA,288:288,372:372,285:285,243:252,200:206,302:304,333:351,249:249
24E,6,24,24E2,No,219:225,180:183,360:360,288:291,372:372,291:291,246:252,194:194,294:304,NA,249:270
27A,0,27,NA,No,219:225,183:189,348:360,276:297,372:372,285:291,240:243,194:194,302:302,348:357,249:249
27A,1,27,27A1,No,219:219,180:183,360:360,276:282,372:372,291:291,243:249,194:194,300:302,345:348,249:249
27A,2,27,27A1,No,219:219,180:183,360:360,276:285,372:375,285:291,240:243,194:198,300:302,348:357,249:249
27A,3,27,27A1,No,219:225,180:183,360:360,276:285,372:372,285:291,240:243,192:194,302:302,348:354,249:249
27A,4,27,27A2,No,219:219,180:183,348:360,276:276,372:372,288:291,240:243,194:194,302:302,345:357,249:249
27A,5,27,27A2,No,219:222,177:180,360:360,276:297,372:375,291:291,240:243,194:194,300:302,348:348,249:249
27A,6,27,27A3,No,219:219,183:183,360:360,276:288,372:372,288:291,243:255,190:194,302:302,345:357,249:249
27A,7,27,27A3,No,225:225,180:183,360:360,276:288,372:372,291:291,243:258,194:194,302:302,345:357,249:270
27A,8,27,27A4,No,219:225,180:183,348:360,276:276,372:372,285:291,240:255,194:194,302:302,348:354,249:249
27A,9,27,27A4,No,222:225,180:183,348:360,276:285,372:372,285:291,240:243,194:194,302:302,348:354,249:249
27A,10,27,27A5,No,225:225,180:183,360:360,276:297,372:375,291:291,240:243,194:194,302:302,354:357,249:249
27A,11,27,27A5,No,219:225,180:183,348:348,297:297,372:372,285:285,243:255,192:194,300:302,342:357,249:249
27B,0,27,NA,No,219:225,180:189,357:357,276:300,372:375,285:291,243:249,194:200,302:302,345:354,249:249
27B,1,27,27B1,No,219:225,180:180,357:357,276:276,372:372,291:291,249:252,194:200,302:302,354:372,249:249
27B,2,27,27B1,No,219:219,NA,357:357,276:276,375:375,291:291,NA,198:200,292:302,345:354,249:249
27B,3,27,27B2,No,225:225,180:180,348:357,282:288,375:375,300:300,243:255,194:198,302:302,345:357,249:261
27B,4,27,27B2,No,219:225,180:180,348:357,282:288,372:372,291:291,237:240,194:194,302:302,345:372,249:249
27B,5,27,27B3,No,210:225,180:183,357:360,276:297,372:375,291:291,231:234,194:200,302:302,354:354,249:261
27B,6,27,27B3,No,225:228,180:183,357:360,282:285,372:372,285:291,237:243,190:194,302:302,333:345,249:249
27B,7,27,27B3,No,219:228,180:183,357:360,285:285,372:372,285:291,240:246,190:194,302:302,354:357,249:249
27B,8,27,27B4,No,219:219,180:180,357:357,276:276,372:375,285:291,237:240,186:194,292:302,333:354,249:261
27B,9,27,27B4,No,219:219,180:180,357:360,276:276,372:375,285:285,246:249,186:194,292:302,345:345,249:261
27B,10,27,27B5,No,219:225,180:180,357:360,276:297,372:375,285:285,252:255,NA,302:302,345:345,249:249
27D,0,27,NA,No,225:225,180:189,348:360,288:297,372:372,285:291,240:240,194:194,302:302,345:345,249:270
27D,1,27,27D1,No,225:225,180:183,360:360,276:288,372:372,291:291,237:240,194:194,302:302,345:354,249:249
27D,2,27,27D1,No,225:225,180:180,360:360,288:288,372:372,291:291,240:258,194:208,302:302,345:345,249:249
27D,3,27,27D1,No,219:225,180:180,348:360,288:297,372:372,291:291,240:255,194:194,302:302,345:357,249:270
27D,4,27,27D2,No,225:225,180:183,360:360,297:297,372:372,291:291,240:255,194:194,302:302,345:360,249:270
27D,5,27,27D2,No,219:225,180:183,348:348,297:297,372:372,285:285,240:252,194:208,302:302,345:372,270:270
27D,6,27,27D3,No,225:225,180:180,360:360,288:288,372:372,285:291,240:258,194:194,302:302,345:345,249:249
27D,7,27,27D3,No,225:225,180:180,348:357,297:297,372:372,291:291,240:243,194:194,302:302,345:345,249:249
27D,8,27,27D3,No,225:225,180:183,360:360,288:288,372:372,291:291,240:243,194:194,302:302,345:348,249:249
27E,0,27,NA,No,225:225,180:180,360:360,276:276,372:372,288:291,249:252,192:192,302:302,345:348,249:249
27E,1,27,27E1,No,225:225,180:180,360:360,276:276,372:372,288:291,240:243,192:200,302:302,345:345,249:249
27E,2,27,27E1,No,225:225,180:183,360:360,276:297,372:372,288:288,252:255,192:192,302:302,345:348,249:249
27E,3,27,27E1,No,225:225,180:180,357:360,276:276,372:372,288:291,240:243,186:194,302:302,345:348,249:249
27E,4,27,27E2,No,222:225,180:180,360:360,276:297,372:372,291:291,252:255,192:200,302:302,345:348,249:270
27E,5,27,27E2,No,225:225,180:183,357:360,276:276,372:372,288:291,240:252,192:192,302:302,345:354,249:249
27E,6,27,24E3,No,225:225,180:180,354:360,276:297,372:372,288:291,243:252,192:192,302:302,345:348,249:270
27E,7,27,24E4,No,225:225,180:180,NA,276:276,372:372,288:291,252:252,194:200,302:302,345:348,249:249
27E,8,27,24E5,No,225:228,180:180,360:360,276:276,372:375,291:291,246:252,194:194,302:302,345:351,249:249
27E,9,27,24E6,No,225:225,180:183,357:360,276:288,372:372,288:291,249:252,192:206,302:302,330:345,249:249
27E,10,27,27E7,No,225:225,180:180,360:360,276:297,372:372,285:288,243:252,192:200,302:302,345:354,249:249
27E,11,27,27E7,No,225:225,180:180,NA,NA,372:375,288:288,243:252,194:194,302:302,348:354,249:249
28B,0,28,NA,No,225:225,180:180,360:360,288:297,372:372,285:285,240:246,194:204,302:302,345:348,249:249
28B,1,28,28B1,No,225:225,180:183,360:360,288:297,372:372,285:285,240:243,202:204,302:302,345:345,249:249
28B,2,28,28B1,No,225:225,180:186,360:360,288:288,372:372,285:291,NA,194:194,302:302,NA,249:249
28B,3,28,28B2,No,225:225,180:180,360:360,297:297,372:372,285:285,240:246,202:204,302:302,345:348,249:249
28B,4,28,28B2,No,225:225,180:183,360:360,288:297,372:372,285:285,237:240,194:194,302:302,345:348,249:249
28B,5,28,28B2,No,225:225,180:180,360:360,297:297,372:372,285:285,243:246,194:204,302:302,345:348,249:249
28C,0,28,NA,No,219:222,180:183,357:360,282:285,372:372,285:291,240:252,194:194,300:302,345:345,249:249
28C,1,28,28C1,No,222:222,180:183,360:360,285:285,372:372,285:285,237:240,194:194,302:302,345:345,249:249
28C,2,28,28C1,No,219:219,180:183,357:357,285:297,372:372,285:285,240:252,190:194,300:302,345:354,249:249
28C,3,28,28C1,No,219:222,180:183,357:360,285:288,372:372,291:291,249:252,194:194,302:302,345:348,249:249
28C,4,28,28C2,No,222:225,180:180,357:357,285:288,372:372,288:288,243:252,194:194,300:302,345:360,249:249
28C,5,28,28C2,No,222:225,183:183,357:360,285:288,372:372,288:288,249:252,194:194,300:302,345:360,249:249
28C,6,28,28C3,No,222:225,180:183,357:360,276:285,372:372,285:285,237:240,194:194,300:302,345:354,249:249
28C,7,28,28C3,No,222:225,180:180,360:360,276:282,372:372,285:285,240:252,194:194,300:302,345:354,249:249
28C,8,28,28C3,No,219:225,183:183,360:360,276:282,372:372,285:291,237:240,194:194,302:302,345:345,249:249
28C,9,28,28C4,No,219:225,180:183,357:357,285:288,372:372,288:288,240:255,194:194,292:302,336:345,249:249
28C,10,28,28C4,No,219:225,180:183,357:360,285:285,372:372,291:291,252:252,194:194,294:302,345:345,249:249
28C,11,28,28C4,No,222:225,183:183,357:360,285:285,372:372,291:291,249:252,194:206,300:302,345:354,249:249
28D,0,28,NA,No,225:228,183:183,342:360,276:288,372:372,291:291,252:255,192:202,302:302,345:348,249:249
28D,1,28,28D1,No,225:225,180:183,342:360,288:291,372:372,291:291,240:255,186:192,302:302,345:348,249:261
28D,2,28,28D1,Yes,225:228,183:183,342:342,288:288,372:372,291:291,249:252,190:190,302:302,348:348,249:249
28D,3,28,28D1,No,225:225,183:183,342:360,276:288,372:372,291:291,252:255,200:202,300:302,348:348,249:249
28D,4,28,28D2,No,225:225,183:183,357:360,288:288,372:372,291:291,228:252,192:200,302:302,345:363,249:249
28D,5,28,28D3,No,225:225,180:183,342:348,276:276,372:372,291:291,NA,194:194,302:302,NA,249:249
28D,6,28,28D3,Yes,228:228,183:183,NA,NA,372:372,291:291,NA,NA,302:302,NA,249:249
28D,7,28,28D4,No,225:225,183:186,360:360,276:288,372:372,291:291,249:252,192:202,302:302,345:354,249:249
28D,8,28,28D4,No,225:228,180:183,342:357,288:303,372:375,285:291,246:252,192:192,302:302,348:360,249:249
28E,0,28,NA,No,225:225,180:183,345:357,288:288,372:372,288:291,240:240,194:194,292:302,345:345,249:249
28E,1,28,28E1,No,225:225,183:183,345:357,288:288,372:372,288:288,NA,194:194,302:302,333:354,249:249
28E,2,28,28E1,No,225:225,180:183,345:360,288:288,372:372,288:288,237:240,194:194,292:302,345:345,249:249
28E,3,28,28E1,No,225:225,183:183,354:357,288:288,372:372,291:291,237:240,194:194,292:302,345:345,249:249
28E,4,28,28E2,No,225:225,NA,NA,288:288,372:372,288:288,240:258,194:194,292:302,345:345,249:249
28E,5,28,28E2,No,225:225,180:186,357:360,276:288,372:372,288:291,237:240,194:204,292:302,333:345,249:249
28E,6,28,28E3,No,219:225,180:180,345:360,288:288,372:372,285:291,237:240,194:204,302:302,333:345,249:267
28E,7,28,28E3,No,225:225,180:183,345:345,276:288,372:372,291:291,240:252,NA,302:302,NA,249:249
28E,8,28,28E4,No,NA,180:183,NA,288:288,372:372,288:291,240:255,194:202,292:302,345:348,249:249
28E,9,28,28E4,No,225:228,183:183,NA,NA,372:372,288:288,240:252,194:202,302:302,333:345,249:249
28E,10,28,28E4,No,225:225,180:183,345:360,276:288,372:372,288:288,240:255,194:194,302:302,333:345,249:249
29A,0,29,NA,No,219:225,180:183,357:360,285:297,372:372,291:291,240:243,194:194,302:302,333:345,249:249
29A,1,29,29A1,No,222:225,180:183,360:360,285:297,372:372,291:291,243:243,194:194,302:302,333:357,249:249
29A,2,29,29A1,No,222:225,183:183,360:360,285:288,372:372,291:291,243:255,194:194,302:302,345:366,249:249
29A,3,29,29A3,No,219:225,180:183,345:360,285:288,372:372,294:300,NA,190:194,292:302,345:357,249:249
29A,4,29,29A4,No,219:222,180:183,360:363,285:288,372:372,291:291,243:252,194:194,302:302,333:333,249:249
29A,5,29,29A4,No,219:225,180:183,357:357,285:297,372:375,285:291,255:258,194:200,302:302,333:348,249:270
29B,0,29,NA,No,216:225,180:183,357:360,276:288,372:372,285:285,249:255,194:194,302:302,345:348,249:249
29B,1,29,29B1,No,222:225,180:180,360:360,285:288,372:372,285:285,249:252,186:194,302:302,348:348,249:249
29B,2,29,29B1,No,216:225,183:183,357:360,276:285,372:372,285:285,237:240,194:194,302:302,345:345,249:249
29B,3,29,29B2,No,216:225,180:183,357:360,276:288,372:375,285:285,249:252,194:202,300:302,348:351,249:249
29B,4,29,29B2,No,216:225,180:183,360:360,276:288,372:372,285:285,249:252,194:194,302:302,348:348,249:249
29B,5,29,29B3,No,225:225,183:183,345:360,276:285,372:372,285:291,240:243,194:196,290:302,348:354,249:249
29B,6,29,29B3,No,216:225,180:180,348:360,285:288,372:372,285:285,240:255,194:194,300:302,348:354,249:249
29B,7,29,29B4,No,216:225,180:183,348:360,276:288,372:372,285:291,249:255,190:194,302:302,348:351,249:249
29B,8,29,29B4,No,225:225,180:183,348:360,276:288,372:372,285:291,249:252,190:194,300:302,345:351,249:249
29B,9,29,29B4,No,225:225,180:183,360:360,276:276,372:372,285:285,NA,194:194,302:302,345:348,249:249
29B,10,29,29B5,No,216:219,180:183,345:360,276:297,372:372,285:285,240:243,194:194,302:302,348:354,249:249
29B,11,29,29B5,No,225:225,180:180,360:360,288:297,372:372,285:291,249:252,194:194,302:302,345:345,249:249
29C,0,29,NA,No,216:219,180:180,360:360,288:288,372:372,285:285,249:252,194:194,302:302,345:345,249:249
29C,1,29,29C1,No,216:225,180:180,360:360,288:288,372:372,285:288,249:252,194:194,302:302,345:357,249:249
29C,2,29,29C1,No,219:225,180:180,357:360,276:288,372:372,285:285,249:252,194:200,302:302,345:345,249:249
29C,3,29,29C1,No,219:225,180:180,354:360,288:288,372:372,285:285,249:252,194:200,302:302,345:345,249:249
29C,4,29,29C2,No,219:222,180:183,360:360,288:288,372:372,285:285,249:252,194:194,292:302,345:357,249:249
29C,5,29,29C2,No,219:225,180:183,360:360,285:288,372:375,285:291,249:252,194:194,302:306,345:345,249:270
29C,6,29,29C3,No,219:225,180:180,357:360,276:288,372:372,285:285,249:255,194:194,300:302,345:345,249:249
29C,7,29,29C3,No,219:225,180:180,NA,NA,372:372,285:285,249:252,194:194,302:302,345:345,249:249
29C,8,29,29C3,No,219:225,180:183,357:360,276:288,372:372,285:285,252:255,194:194,302:302,345:345,249:249
29C,9,29,29C4,No,216:222,180:183,360:360,288:288,372:372,285:285,249:255,194:194,302:306,345:345,249:249
29C,10,29,29C4,No,216:225,180:180,360:360,288:300,372:372,285:285,240:252,194:194,302:302,345:354,249:249
29C,11,29,29C4,No,216:219,180:183,360:360,288:288,372:372,285:285,249:252,194:194,302:302,345:345,249:249
29D,0,29,NA,No,225:225,180:189,360:360,288:297,372:372,291:294,249:252,194:198,302:302,345:345,249:249
29D,1,29,29D1,No,219:225,180:180,360:360,288:297,372:372,294:300,249:255,198:200,302:302,345:354,249:249
29D,2,29,29D1,No,225:225,180:180,348:360,276:297,372:372,288:291,249:252,194:194,302:302,345:345,249:249
29D,3,29,29D1,No,225:225,180:183,348:360,276:288,372:372,285:291,240:252,194:198,302:302,345:354,249:249
29D,4,29,29D2,No,225:225,180:180,360:360,288:297,372:372,291:291,240:252,NA,298:302,345:348,249:249
29D,5,29,29D2,No,225:225,180:180,357:360,276:297,372:372,291:291,249:252,190:194,302:302,342:345,249:249
29D,6,29,29D3,No,225:225,180:183,360:360,285:288,372:372,NA,NA,194:194,302:302,345:348,249:249
29D,7,29,29D3,No,225:225,180:183,360:360,288:297,372:372,300:300,249:255,194:198,302:302,345:351,249:270
29D,8,29,29D3,No,225:225,180:180,360:360,288:297,372:375,285:291,249:252,194:194,302:302,345:345,249:249
29D,9,29,29D4,No,225:225,180:180,360:360,276:288,372:372,285:291,234:249,190:198,302:302,345:357,249:249
29D,10,29,29D4,No,225:225,180:180,360:360,276:288,372:372,285:291,252:255,194:198,302:302,345:345,249:249
29E,0,29,NA,No,219:225,180:183,348:354,276:300,372:372,291:291,243:252,194:200,302:302,333:348,249:249
29E,1,29,29E1,No,219:225,183:183,354:354,288:300,372:372,291:291,240:252,194:200,302:302,333:342,249:249
29E,2,29,29E2,No,219:225,183:183,348:354,276:300,372:372,285:285,240:243,190:200,302:302,348:351,249:249
29E,3,29,29E2,No,219:225,180:183,348:360,276:288,372:372,291:291,243:243,206:206,302:302,333:354,249:249
29E,4,29,29E2,No,225:225,180:183,354:354,288:300,372:372,291:291,243:252,194:194,302:302,345:345,249:249
29E,5,29,29E3,No,219:222,183:183,354:357,297:300,372:372,291:291,240:252,194:204,302:302,333:345,249:249
29E,6,29,29E3,No,225:225,180:183,348:360,276:297,372:375,285:291,243:252,192:200,302:302,333:360,249:270
29E,7,29,29E3,No,219:225,183:183,348:357,276:276,372:372,285:285,240:243,194:202,302:302,333:345,249:249
29E,8,29,29E4,No,219:219,183:183,345:354,288:300,372:372,291:291,240:243,194:194,302:302,333:357,249:249
29E,9,29,29E4,No,219:225,180:183,348:360,276:288,372:372,285:291,240:243,194:194,302:302,348:348,249:249
29E,10,29,29E4,No,225:225,180:180,NA,NA,372:372,285:285,240:243,194:200,302:302,348:360,249:249
31A,0,31,NA,No,219:219,180:183,357:360,276:285,372:372,285:285,240:255,186:200,302:302,348:357,249:249
31A,1,31,31A1,No,219:225,180:183,357:357,285:285,372:372,285:291,243:255,186:194,300:302,342:357,249:249
31A,2,31,31A1,No,219:222,180:180,360:366,276:285,372:372,285:291,243:255,198:200,302:302,345:357,249:249
31A,3,31,31A1,No,NA,183:183,345:345,276:297,372:372,285:291,240:243,194:200,302:302,348:348,249:270
31A,4,31,31A2,No,219:219,180:180,360:360,279:285,372:372,291:291,240:240,186:186,302:302,354:357,249:249
31A,5,31,31A3,No,219:219,180:180,360:360,285:312,372:372,285:285,252:255,200:200,302:302,357:357,249:270
31A,6,31,31A3,No,219:219,180:180,360:360,NA,372:372,285:285,240:255,NA,302:302,357:357,249:270
31A,7,31,31A3,No,219:225,183:183,360:360,276:276,372:372,NA,252:255,186:186,302:302,357:357,249:249
31A,8,31,31A4,No,219:225,180:180,360:360,285:285,372:372,285:285,237:240,200:200,294:302,348:348,249:249
31A,9,31,31A5,No,219:225,180:180,360:360,276:288,372:372,285:285,240:255,194:200,302:302,348:357,249:249
31B,0,31,NA,No,219:225,180:180,357:360,279:291,366:372,285:285,237:240,194:200,302:304,345:345,249:249
31B,1,31,31B1,No,219:225,180:180,348:360,279:288,372:372,285:285,237:240,186:200,302:302,336:345,249:249
31B,2,31,31B1,Yes,219:219,180:180,345:360,279:279,366:366,285:285,240:243,188:200,302:302,345:357,249:249
31B,3,31,31B2,No,219:225,180:180,357:360,279:297,372:372,285:288,240:243,200:200,302:302,345:354,249:249
31B,4,31,31B2,No,219:225,180:183,357:357,279:279,369:372,285:285,240:240,190:200,302:304,345:354,249:249
31B,5,31,31B2,Yes,219:225,180:180,357:360,279:288,372:372,285:285,240:240,188:200,302:302,357:357,249:249
31B,6,31,31B3,Yes,219:219,180:180,357:360,279:288,366:372,285:285,237:240,NA,302:302,345:345,249:249
31B,7,31,31B3,No,225:225,180:180,357:357,279:288,372:372,285:285,231:234,NA,304:304,345:348,249:249
